trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
158,0,158,0,300.0966475000605,,300.05510550003964,10,300.0966475000605,300.0966475000605,0.02887240005657077,301.5681692000944,[0.3111111111111111],[0.05462962962962963],[1],[0],[0],[1.484399100067094],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
159,0,159,0,301.61012930003926,,301.5709412000142,10,301.61012930003926,301.61012930003926,0.026707799988798797,304.0845774000045,[-0.41388888888888886],[0.4444444444444444],[1],[0],[0],[2.4871722999960184],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
160,0,160,0,304.12586590007413,,304.08768090000376,10,304.12586590007413,304.12586590007413,0.026752099976874888,305.6168592000613,[-0.12777777777777777],[0.10740740740740741],[1],[0],[0],[1.5027501999866217],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
161,0,161,0,305.66112120007165,,305.6200697000604,10,305.66112120007165,305.66112120007165,0.028631599969230592,307.0169469000539,[-0.4166666666666667],[-0.06481481481481481],[1],[0],[0],[1.3685682999202982],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
162,0,162,0,307.04096320003737,,307.0196195000317,5,307.04096320003737,307.04096320003737,0.01332989998627454,308.49966380000114,[0.1814814814814815],[-0.39537037037037037],[1],[0],[0],[1.4669067999348044],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
163,0,163,0,308.5259950000327,,308.5028115999885,5,308.5259950000327,308.5259950000327,0.015213799895718694,310.11565799999516,[0.1527777777777778],[-0.03333333333333333],[1],[0],[0],[1.5978620999958366],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
164,0,164,0,310.1564402000513,,310.11839330010116,10,310.1564402000513,310.1564402000513,0.026617399998940527,311.16547740006354,[0.12685185185185185],[0.03981481481481482],[1],[0],[0],[1.020661599934101],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
165,0,165,0,311.1893553000409,,311.16820409998763,5,311.1893553000409,311.1893553000409,0.013555799960158765,312.2486285000341,[0.08055555555555556],[0.11574074074074074],[1],[0],[0],[1.0670600000303239],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
166,0,166,0,312.27378360007424,,312.25159340002574,5,312.27378360007424,312.27378360007424,0.01423980004619807,313.6978856000351,[0.20185185185185187],[0.125],[1],[0],[0],[1.4323368000332266],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
167,0,167,0,313.73965440003667,,313.7010849000653,10,313.73965440003667,313.73965440003667,0.02694269991479814,314.94741740007885,[-0.08148148148148149],[-0.041666666666666664],[1],[0],[0],[1.2197709999745712],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
168,0,168,0,314.99264890002087,,314.94995929999277,10,314.99264890002087,314.99264890002087,0.02919779997318983,316.8634795000544,[0.19814814814814816],[-0.04259259259259259],[1],[0],[0],[1.8845616000471637],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
